 from,to,position,time
ra,Monterrey,Ausbildung,2003
ra,Stuttgart_Schule,Ausbildung,2008
ra,Stuttgart_Schule,Abschluss,2011
ra,Stuttgart_Ballett,Elevin,2011
ra,Stuttgart_Ballett,Corps_de_Ballett,2012
ra,Stuttgart_Ballett,Halbsolist,2014
ra,Stuttgart_Ballett,Solist,2018
ra,Stuttgart_Ballett,Erster_Solist,2021
eb,Valenzia,Ausbildung,2002
eb,London_School,Abschluss,2009
eb,Stuttgart_Ballett,Elevin,2009
eb,Stuttgart_Ballett,Corps_de_Ballett,2010
eb,Stuttgart_Ballett,Halbsolist,2011
eb,Stuttgart_Ballett,Solist,2012
eb,Stuttgart_Ballett,Erster_Solist,2013
eb,Stuttgart_Theater,Kammertänzerin,2023
Monterrey,ra,Ausbildung,2003
Stuttgart_Schule,ra,Ausbildung,2008
Stuttgart_Schule,ra,Abschluss,2011
Stuttgart_Ballett,ra,Elevin,2011
Stuttgart_Ballett,ra,Corps_de_Ballett,2012
Stuttgart_Ballett,ra,Halbsolist,2014
Stuttgart_Ballett,ra,Solist,2018
Stuttgart_Ballett,ra,Erster_Solist,2021
Valenzia,eb,Ausbildung,2002
London_School,eb,Abschluss,2009
Stuttgart_Ballett,eb,Elevin,2009
Stuttgart_Ballett,eb,Corps_de_Ballett,2010
Stuttgart_Ballett,eb,Halbsolistin,2011
Stuttgart_Ballett,eb,Solistin,2012
Stuttgart_Ballett,eb,Erster_Solist,2013
Stuttgart_Theater,eb,Kammertänzerin,2023
mb,Stafford,Ausbildung,2005
mb,Virginia,Ausbildung,2011
mb,Monaco,Ausbildung,2016
mb,Monaco,Abschluss,2019
mb,Stuttgart_Ballett,Corps_de_Ballett,2020
mb,Stuttgart_Ballett,Halbsolist,2021
mb,Stuttgart_Ballett,Solist,2022
mb,Stuttgart_Ballett,Erster_Solist,2023
Stafford,mb,Ausbildung,2005
Virginia,mb,Ausbildung,2011
Monaco,mb,Ausbildung,2016
Monaco,mb,Abschluss,2019
Stuttgart_Ballett,mb,Corps_de_Ballett,2020
Stuttgart_Ballett,mb,Halbsolist,2021
Stuttgart_Ballett,mb,Solist,2022
Stuttgart_Ballett,mb,Erster_Solist,2023
mk,Bratislava,Ausbildung,1993
mk,Monaco,Ausbildung,2001
mk,Monaco,Abschluss,2004
